
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:49664             [::]:0                 LISTENING       736
  TCP    [::]:49665             [::]:0                 LISTENING       1012
  TCP    [::]:49666             [::]:0                 LISTENING       1620
  TCP    [::]:49667             [::]:0                 LISTENING       2028
  TCP    [::]:49668             [::]:0                 LISTENING       4892
  TCP    [::]:49674             [::]:0                 LISTENING       788
  TCP    [::1]:12025            [::]:0                 LISTENING       4560
  TCP    [::1]:12110            [::]:0                 LISTENING       4560
  TCP    [::1]:12119            [::]:0                 LISTENING       4560
  TCP    [::1]:12143            [::]:0                 LISTENING       4560
  TCP    [::1]:12465            [::]:0                 LISTENING       4560
  TCP    [::1]:12563            [::]:0                 LISTENING       4560
  TCP    [::1]:12993            [::]:0                 LISTENING       4560
  TCP    [::1]:12995            [::]:0                 LISTENING       4560
  TCP    [::1]:27275            [::]:0                 LISTENING       4560
  TCP    [::1]:27275            [::1]:57046            TIME_WAIT       0
  TCP    [::1]:27275            [::1]:57049            TIME_WAIT       0
  TCP    [::1]:27275            [::1]:57106            TIME_WAIT       0
  TCP    [::1]:27275            [::1]:57109            TIME_WAIT       0
  UDP    0.0.0.0:500            *:*                                    4828
  UDP    0.0.0.0:3702           *:*                                    3528
  UDP    0.0.0.0:3702           *:*                                    3528
  UDP    0.0.0.0:4500           *:*                                    4828
  UDP    0.0.0.0:5050           *:*                                    11016
  UDP    0.0.0.0:5353           *:*                                    17604
  UDP    0.0.0.0:5353           *:*                                    17604
  UDP    0.0.0.0:5353           *:*                                    17604
  UDP    0.0.0.0:5353           *:*                                    3364
  UDP    0.0.0.0:5353           *:*                                    17604
  UDP    0.0.0.0:5353           *:*                                    17604
  UDP    0.0.0.0:5353           *:*                                    17604
  UDP    0.0.0.0:5355           *:*                                    3364
  UDP    0.0.0.0:49283          *:*                                    3528
  UDP    0.0.0.0:52543          *:*                                    4988
  UDP    0.0.0.0:63054          *:*                                    4892
  UDP    10.3.0.1:137           *:*                                    4
  UDP    10.3.0.1:138           *:*                                    4
  UDP    10.3.0.1:1900          *:*                                    8148
  UDP    10.3.0.1:57319         *:*                                    8148
  UDP    127.0.0.1:1900         *:*                                    8148
  UDP    127.0.0.1:49865        *:*                                    4548
  UDP    127.0.0.1:57320        *:*                                    8148
  UDP    192.168.0.20:137       *:*                                    4
  UDP    192.168.0.20:138       *:*                                    4
  UDP    192.168.0.20:1900      *:*                                    8148
  UDP    192.168.0.20:57318     *:*                                    8148
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    8148
  UDP    192.168.56.1:57317     *:*                                    8148
  UDP    [::]:500               *:*                                    4828
  UDP    [::]:3702              *:*                                    3528
  UDP    [::]:3702              *:*                                    3528
  UDP    [::]:4500              *:*                                    4828
  UDP    [::]:5353              *:*                                    3364
  UDP    [::]:5353              *:*                                    17604
  UDP    [::]:5353              *:*                                    17604
  UDP    [::]:5353              *:*                                    17604
  UDP    [::]:5355              *:*                                    3364
  UDP    [::]:49284             *:*                                    3528
  UDP    [::1]:1900             *:*                                    8148
  UDP    [::1]:57316            *:*                                    8148
  UDP    [fe80::21c2:d0e0:4da7:3d68%14]:1900  *:*                                    8148
  UDP    [fe80::21c2:d0e0:4da7:3d68%14]:57313  *:*                                    8148
  UDP    [fe80::6a49:8285:e9a4:9eda%9]:1900  *:*                                    8148
  UDP    [fe80::6a49:8285:e9a4:9eda%9]:57315  *:*                                    8148
  UDP    [fe80::d6b0:c213:2d1e:60e6%16]:1900  *:*                                    8148
  UDP    [fe80::d6b0:c213:2d1e:60e6%16]:57314  *:*                                    8148
